10001+10001	SourceCode.Additive 
--0	SourceCode.Prefix 
~0	SourceCode.Unary 
!0	SourceCode.Unary 
0+10000	SourceCode.Additive 
0-10000	SourceCode.Additive 
0*10000	SourceCode.Multiplicative 
0/10000	SourceCode.Multiplicative 
0%10000	SourceCode.Multiplicative 
0&10000	SourceCode.Bitwise 
0^10000	SourceCode.Bitwise 
0|10000	SourceCode.Bitwise 
0>>10000	SourceCode.Shift 
0<<10000	SourceCode.Shift 
++0	SourceCode.Prefix 
--0	SourceCode.Prefix 
~0	SourceCode.Unary 
!0	SourceCode.Unary 
10000+0	SourceCode.Additive 
10000-0	SourceCode.Additive 
10000*0	SourceCode.Multiplicative 
10000/0	SourceCode.Multiplicative 
10000%0	SourceCode.Multiplicative 
10000&0	SourceCode.Bitwise 
10000^0	SourceCode.Bitwise 
10000|0	SourceCode.Bitwise 
10000>>0	SourceCode.Shift 
10000<<0	SourceCode.Shift 
++10000	SourceCode.Prefix 
--10000	SourceCode.Prefix 
~10000	SourceCode.Unary 
!10000	SourceCode.Unary 
-10000+0	SourceCode.Additive 
-10000-0	SourceCode.Additive 
-10000*0	SourceCode.Multiplicative 
-10000/0	SourceCode.Multiplicative 
-10000%0	SourceCode.Multiplicative 
-10000&0	SourceCode.Bitwise 
-10000^0	SourceCode.Bitwise 
-10000|0	SourceCode.Bitwise 
-10000>>0	SourceCode.Shift 
-10000<<0	SourceCode.Shift 
++-10000	SourceCode.Prefix 
---10000	SourceCode.Prefix 
~-10000	SourceCode.Unary 
!-10000	SourceCode.Unary 
0+-10000	SourceCode.Additive 
0--10000	SourceCode.Additive 
0*-10000	SourceCode.Multiplicative 
0/-10000	SourceCode.Multiplicative 
0%-10000	SourceCode.Multiplicative 
0&-10000	SourceCode.Bitwise 
0^-10000	SourceCode.Bitwise 
0|-10000	SourceCode.Bitwise 
0>>-10000	SourceCode.Shift 
0<<-10000	SourceCode.Shift 
++0	SourceCode.Prefix 
--0	SourceCode.Prefix 
~0	SourceCode.Unary 
!0	SourceCode.Unary 
